Risk level Clusters  Average      Min      Max       SD
INFO           1115   1090.3        5   583889  19227.6
LOW             221    189.4        4     5557    612.9
MEDIUM           18     31.6        5      235     55.5
HIGH             17    117.0        6     1107    270.6
ATTACK           33     42.2        5      402     77.1
SUSPICIOUS      238   2604.4        5   280056  20209.9
Total          1642   1145.7        4   583889  17629.0

Single level clusters   :     1404/    1642 =  85.5055%
Single level sequences  :  1261473/ 1881314 =  67.0528%
Adjacent level clusters :     1527/    1642 =  92.9963%
Adjacent level sequences:  1854247/ 1881314 =  98.5613%

Homogeneity: 0.9767

SUSPICIOUS
(206, 0.9853)
(207, 0.9854)
(208, 0.9855)
(209, 0.9856)
(210, 0.9857)
(211, 0.9858)
(212, 0.9859)
(213, 0.9860)
(214, 0.9861)
(215, 0.9862)
(216, 0.9863)
(217, 0.9864)
(218, 0.9865)
(219, 0.9866)
(220, 0.9867)
(221, 0.9868)
(222, 0.9869)
(223, 0.9870)
(224, 0.9871)
(225, 0.9871)
(226, 0.9872)
(227, 0.9873)
(228, 0.9874)
(229, 0.9875)
(230, 0.9876)
(231, 0.9877)
(232, 0.9877)
(233, 0.9878)
(234, 0.9879)
(235, 0.9880)
(236, 0.9881)
(237, 0.9882)
(238, 0.9882)
(239, 0.9883)
(240, 0.9884)
(241, 0.9885)
(242, 0.9886)
(243, 0.9886)
(244, 0.9887)
(245, 0.9888)
(246, 0.9889)
(247, 0.9889)
(248, 0.9890)
(249, 0.9891)
(250, 0.9892)
(251, 0.9892)
(252, 0.9893)
(253, 0.9894)
(254, 0.9895)
(255, 0.9895)
(256, 0.9896)
(257, 0.9897)
(258, 0.9897)
(259, 0.9898)
(260, 0.9899)
(261, 0.9899)
(262, 0.9900)
(263, 0.9901)
(264, 0.9901)
(265, 0.9902)
(266, 0.9903)
(267, 0.9903)
(268, 0.9904)
(269, 0.9905)
(270, 0.9905)
(271, 0.9906)
(272, 0.9907)
(273, 0.9907)
(274, 0.9908)
(275, 0.9909)
(276, 0.9909)
(277, 0.9910)
(278, 0.9910)
(279, 0.9911)
(280, 0.9912)
(281, 0.9914)
(282, 0.9914)
(283, 0.9915)
(284, 0.9916)
(285, 0.9916)
(286, 0.9917)
(287, 0.9917)
(288, 0.9918)
(289, 0.9918)
(290, 0.9919)
(291, 0.9920)
(292, 0.9920)
(293, 0.9921)
